BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s2)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s3)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s4)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s5)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
O2                                                              
o2_cs.txt
--------------------------------------------------
O2(0.98)                                                        
o2_cs.txt
--------------------------------------------------
O2(1.63)                                                        
o2_cs.txt
--------------------------------------------------
H2O                                                             
h2o_and_h_cs.txt
--------------------------------------------------
H                                                               
h2o_and_h_cs.txt
--------------------------------------------------
H(2p)(10.2eV)                                                   
h2o_and_h_cs.txt
--------------------------------------------------
H(2s)(10.2eV)                                                   
h2o_and_h_cs.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction Ar                          0.9764    
Mole fraction Ar(1s2)                     0.1000E-03
Mole fraction Ar(1s3)                     0.1000E-03
Mole fraction Ar(1s4)                     0.1000E-03
Mole fraction Ar(1s5)                     0.1000E-03
Mole fraction O2                          0.1000E-03
Mole fraction O2(0.98)                    0.1000E-03
Mole fraction O2(1.63)                    0.1000E-03
Mole fraction H2O                         0.2262E-01
Mole fraction H                           0.1000E-03
Mole fraction H(2p)(10.2eV)               0.1000E-03
Mole fraction H(2s)(10.2eV)               0.1000E-03
 
 
Energy (eV) 	Electric field / N (Td)                                         
6.836	6.836
6.992	6.992
7.155	7.155
7.326	7.326
7.505	7.505
7.694	7.694
7.894	7.894
8.107	8.107
8.334	8.334
8.578	8.578
8.841	8.841
9.126	9.126
9.438	9.438
9.779	9.779
10.15	10.15
10.57	10.57
11.03	11.03
11.55	11.55
12.13	12.13
12.79	12.79
13.53	13.53
14.38	14.38
15.34	15.34
16.44	16.44
17.70	17.70
19.15	19.15
20.80	20.80
22.70	22.70
24.87	24.87
27.37	27.37
30.24	30.24
33.53	33.53
37.32	37.32
41.71	41.71
46.80	46.80
52.75	52.75
59.74	59.74
68.04	68.04
77.96	77.96
 
 
Energy (eV)	Mobility *N (1/m/V/s)
0.6315E-01	0.2655E+26
0.6964E-01	0.2586E+26
0.7696E-01	0.2511E+26
0.8406E-01	0.2451E+26
0.9154E-01	0.2393E+26
0.9953E-01	0.2336E+26
0.1082	0.2279E+26
0.1181	0.2218E+26
0.1289	0.2153E+26
0.1419	0.2088E+26
0.1582	0.2013E+26
0.1786	0.1931E+26
0.2051	0.1838E+26
0.2394	0.1730E+26
0.2829	0.1610E+26
0.3353	0.1483E+26
0.3959	0.1351E+26
0.4621	0.1225E+26
0.5319	0.1107E+26
0.6040	0.9995E+25
0.6765	0.9048E+25
0.7498	0.8219E+25
0.8248	0.7491E+25
0.9019	0.6854E+25
0.9828	0.6289E+25
1.474	0.4992E+25
1.535	0.4657E+25
1.605	0.4338E+25
1.686	0.4034E+25
1.777	0.3742E+25
1.880	0.3462E+25
1.995	0.3193E+25
2.124	0.2938E+25
2.265	0.2697E+25
2.420	0.2470E+25
2.582	0.2264E+25
2.765	0.2067E+25
2.960	0.1885E+25
3.168	0.1719E+25
3.386	0.1568E+25
3.608	0.1433E+25
3.830	0.1315E+25
4.047	0.1212E+25
4.256	0.1123E+25
4.452	0.1048E+25
4.635	0.9845E+24
4.805	0.9306E+24
4.963	0.8846E+24
5.111	0.8450E+24
5.251	0.8104E+24
5.383	0.7799E+24
5.511	0.7527E+24
5.637	0.7280E+24
5.761	0.7054E+24
5.885	0.6845E+24
6.010	0.6651E+24
6.138	0.6469E+24
6.269	0.6299E+24
6.403	0.6138E+24
6.542	0.5986E+24
6.687	0.5841E+24
6.836	0.5704E+24
6.992	0.5573E+24
7.155	0.5447E+24
7.326	0.5327E+24
7.505	0.5210E+24
7.694	0.5097E+24
7.894	0.4988E+24
8.107	0.4882E+24
8.334	0.4779E+24
8.578	0.4679E+24
8.841	0.4582E+24
9.126	0.4489E+24
9.438	0.4400E+24
9.779	0.4314E+24
10.15	0.4234E+24
10.57	0.4159E+24
11.03	0.4089E+24
11.55	0.4024E+24
12.13	0.3965E+24
12.79	0.3912E+24
13.53	0.3864E+24
14.38	0.3822E+24
15.34	0.3786E+24
16.44	0.3754E+24
17.70	0.3725E+24
19.15	0.3699E+24
20.80	0.3675E+24
22.70	0.3651E+24
24.87	0.3627E+24
27.37	0.3603E+24
30.24	0.3576E+24
33.53	0.3547E+24
37.32	0.3515E+24
41.71	0.3482E+24
46.80	0.3447E+24
52.75	0.3412E+24
59.74	0.3378E+24
68.04	0.3346E+24
77.96	0.3319E+24
 
 
Energy (eV)	Diffusion coefficient *N (1/m/s)
0.6315E-01	0.1074E+25
0.6964E-01	0.1162E+25
0.7696E-01	0.1265E+25
0.8406E-01	0.1356E+25
0.9154E-01	0.1450E+25
0.9953E-01	0.1547E+25
0.1082	0.1647E+25
0.1181	0.1760E+25
0.1289	0.1864E+25
0.1419	0.1983E+25
0.1582	0.2117E+25
0.1786	0.2260E+25
0.2051	0.2421E+25
0.2394	0.2599E+25
0.2829	0.2797E+25
0.3353	0.3001E+25
0.3959	0.3209E+25
0.4621	0.3407E+25
0.5319	0.3591E+25
0.6040	0.3762E+25
0.6765	0.3909E+25
0.7498	0.4039E+25
0.8248	0.4155E+25
0.9019	0.4256E+25
0.9828	0.4345E+25
1.474	0.4471E+25
1.535	0.4525E+25
1.605	0.4575E+25
1.686	0.4620E+25
1.777	0.4659E+25
1.880	0.4693E+25
1.995	0.4719E+25
2.124	0.4738E+25
2.265	0.4750E+25
2.420	0.4753E+25
2.582	0.4748E+25
2.765	0.4734E+25
2.960	0.4712E+25
3.168	0.4683E+25
3.386	0.4648E+25
3.608	0.4608E+25
3.830	0.4566E+25
4.047	0.4522E+25
4.256	0.4479E+25
4.452	0.4438E+25
4.635	0.4399E+25
4.805	0.4363E+25
4.963	0.4329E+25
5.111	0.4298E+25
5.251	0.4269E+25
5.383	0.4243E+25
5.511	0.4218E+25
5.637	0.4194E+25
5.761	0.4172E+25
5.885	0.4150E+25
6.010	0.4129E+25
6.138	0.4109E+25
6.269	0.4089E+25
6.403	0.4070E+25
6.542	0.4051E+25
6.687	0.4033E+25
6.836	0.4016E+25
6.992	0.3999E+25
7.155	0.3984E+25
7.326	0.3969E+25
7.505	0.3955E+25
7.694	0.3943E+25
7.894	0.3932E+25
8.107	0.3923E+25
8.334	0.3916E+25
8.578	0.3910E+25
8.841	0.3908E+25
9.126	0.3909E+25
9.438	0.3914E+25
9.779	0.3924E+25
10.15	0.3941E+25
10.57	0.3965E+25
11.03	0.3999E+25
11.55	0.4045E+25
12.13	0.4104E+25
12.79	0.4181E+25
13.53	0.4279E+25
14.38	0.4401E+25
15.34	0.4555E+25
16.44	0.4741E+25
17.70	0.4966E+25
19.15	0.5237E+25
20.80	0.5559E+25
22.70	0.5938E+25
24.87	0.6380E+25
27.37	0.6896E+25
30.24	0.7490E+25
33.53	0.8173E+25
37.32	0.8961E+25
41.71	0.9873E+25
46.80	0.1093E+26
52.75	0.1218E+26
59.74	0.1365E+26
68.04	0.1543E+26
77.96	0.1759E+26
 
 
Energy (eV)	Energy mobility *N (1/m/V/s)
0.6315E-01	0.3894E+26
0.6964E-01	0.3814E+26
0.7696E-01	0.3743E+26
0.8406E-01	0.3664E+26
0.9154E-01	0.3582E+26
0.9953E-01	0.3496E+26
0.1082	0.3403E+26
0.1181	0.3302E+26
0.1289	0.3176E+26
0.1419	0.3034E+26
0.1582	0.2867E+26
0.1786	0.2668E+26
0.2051	0.2441E+26
0.2394	0.2198E+26
0.2829	0.1955E+26
0.3353	0.1729E+26
0.3959	0.1531E+26
0.4621	0.1364E+26
0.5319	0.1227E+26
0.6040	0.1115E+26
0.6765	0.1020E+26
0.7498	0.9397E+25
0.8248	0.8692E+25
0.9019	0.8057E+25
0.9828	0.7473E+25
1.474	0.4945E+25
1.535	0.4768E+25
1.605	0.4570E+25
1.686	0.4353E+25
1.777	0.4121E+25
1.880	0.3878E+25
1.995	0.3630E+25
2.124	0.3380E+25
2.265	0.3133E+25
2.420	0.2893E+25
2.582	0.2670E+25
2.765	0.2450E+25
2.960	0.2243E+25
3.168	0.2052E+25
3.386	0.1878E+25
3.608	0.1722E+25
3.830	0.1586E+25
4.047	0.1469E+25
4.256	0.1370E+25
4.452	0.1285E+25
4.635	0.1214E+25
4.805	0.1154E+25
4.963	0.1103E+25
5.111	0.1060E+25
5.251	0.1021E+25
5.383	0.9879E+24
5.511	0.9580E+24
5.637	0.9309E+24
5.761	0.9062E+24
5.885	0.8832E+24
6.010	0.8619E+24
6.138	0.8419E+24
6.269	0.8231E+24
6.403	0.8055E+24
6.542	0.7888E+24
6.687	0.7731E+24
6.836	0.7583E+24
6.992	0.7444E+24
7.155	0.7314E+24
7.326	0.7192E+24
7.505	0.7077E+24
7.694	0.6970E+24
7.894	0.6870E+24
8.107	0.6778E+24
8.334	0.6691E+24
8.578	0.6609E+24
8.841	0.6536E+24
9.126	0.6469E+24
9.438	0.6408E+24
9.779	0.6353E+24
10.15	0.6306E+24
10.57	0.6266E+24
11.03	0.6234E+24
11.55	0.6208E+24
12.13	0.6189E+24
12.79	0.6177E+24
13.53	0.6170E+24
14.38	0.6167E+24
15.34	0.6169E+24
16.44	0.6169E+24
17.70	0.6167E+24
19.15	0.6161E+24
20.80	0.6150E+24
22.70	0.6130E+24
24.87	0.6102E+24
27.37	0.6067E+24
30.24	0.6024E+24
33.53	0.5974E+24
37.32	0.5922E+24
41.71	0.5870E+24
46.80	0.5822E+24
52.75	0.5783E+24
59.74	0.5757E+24
68.04	0.5749E+24
77.96	0.5761E+24
 
 
Energy (eV)	Energy diffusion coef. D*N (1/m/s)
0.6315E-01	0.1785E+25
0.6964E-01	0.1883E+25
0.7696E-01	0.1986E+25
0.8406E-01	0.2086E+25
0.9154E-01	0.2190E+25
0.9953E-01	0.2297E+25
0.1082	0.2412E+25
0.1181	0.2539E+25
0.1289	0.2669E+25
0.1419	0.2823E+25
0.1582	0.2998E+25
