BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
bolsigdb_air.dat
--------------------------------------------------
N2(v1)                                                          
bolsigdb_air.dat
--------------------------------------------------
N2(A3)                                                          
bolsigdb_air.dat
--------------------------------------------------
N                                                               
bolsigdb_air.dat
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction N2                          0.9997    
Mole fraction N2(v1)                      0.1000E-03
Mole fraction N2(A3)                      0.1000E-03
Mole fraction N                           0.1000E-03
 
 
Energy (eV) 	Electric field / N (Td)                                         
1.003	2.675
1.005	3.186
1.008	3.186
1.010	3.186
1.012	3.186
1.014	3.186
1.016	3.186
1.018	3.186
1.020	3.186
1.022	3.186
1.024	3.186
1.026	3.186
1.028	3.795
1.030	3.795
1.032	3.795
1.034	4.520
1.036	12.89
1.038	12.89
1.040	12.89
1.042	12.89
1.045	12.89
1.047	12.89
1.049	12.89
1.051	12.89
1.053	12.89
1.055	15.33
1.057	15.33
1.060	15.33
1.062	15.33
1.064	15.33
1.066	15.33
1.069	15.33
1.072	15.33
1.074	15.33
1.076	15.33
1.079	15.33
1.082	15.33
1.085	15.33
1.087	15.33
1.091	15.33
1.094	15.33
1.098	18.21
1.101	18.21
1.106	18.21
1.110	18.21
1.115	18.21
1.122	18.21
1.128	18.21
1.135	18.21
1.144	21.61
1.153	21.61
1.164	21.61
1.177	21.61
1.191	21.61
1.208	21.61
1.228	21.61
1.250	21.61
1.276	25.64
1.304	25.64
1.337	25.64
1.374	25.64
1.416	25.64
1.463	25.64
1.517	25.64
1.574	30.39
1.638	30.39
1.708	30.39
1.783	30.39
1.865	30.39
1.953	30.39
2.045	30.39
2.144	36.02
2.249	36.02
2.358	36.02
2.473	36.02
2.591	36.02
2.713	36.02
2.838	36.02
2.967	36.02
3.097	42.67
3.230	42.67
3.363	42.67
3.497	42.67
3.632	42.67
3.767	42.67
3.902	50.52
4.037	50.52
4.172	50.52
4.307	50.52
4.441	50.52
4.574	50.52
4.710	50.52
4.844	59.81
4.976	59.81
5.108	59.81
5.240	59.81
5.372	59.81
5.504	59.81
5.637	70.79
5.770	70.79
5.904	70.79
6.039	70.79
6.175	70.79
6.311	70.79
6.451	83.77
6.592	83.77
6.736	83.77
6.882	83.77
7.030	83.77
7.181	83.77
7.335	99.11
7.493	99.11
7.655	99.11
7.820	99.11
7.992	99.11
8.166	117.2
8.344	117.2
8.527	117.2
8.715	117.2
8.907	117.2
9.106	138.7
9.311	138.7
9.522	138.7
9.739	138.7
9.963	138.7
10.19	164.0
10.43	164.0
10.68	164.0
10.93	164.0
11.19	194.0
11.46	194.0
11.74	194.0
12.03	194.0
12.32	229.4
12.63	229.4
12.95	229.4
13.28	229.4
13.61	271.2
13.97	271.2
14.33	271.2
14.70	271.2
15.09	320.7
15.49	320.7
15.91	320.7
16.34	320.7
16.78	379.2
17.24	379.2
17.72	379.2
18.22	379.2
18.73	448.3
19.26	448.3
19.81	448.3
20.39	530.0
20.98	530.0
21.60	530.0
22.24	626.6
22.90	626.6
23.59	626.6
24.31	626.6
25.05	740.8
25.83	740.8
26.64	740.8
27.47	875.8
28.35	875.8
29.25	875.8
30.20	1035.
31.19	1035.
32.21	1035.
33.28	1224.
34.40	1224.
35.57	1224.
36.78	1447.
38.05	1447.
39.38	1447.
40.77	1710.
42.22	1710.
43.73	1710.
45.32	2022.
46.98	2022.
48.72	2022.
50.54	2390.
52.46	2390.
54.46	2825.
56.56	2825.
58.77	2825.
61.09	3340.
63.53	3340.
66.10	3340.
68.79	3948.
71.63	3948.
74.63	3948.
77.78	4667.
81.11	4667.
 
 
Energy (eV)	Mean energy (eV)
0.2485	0.2485
0.2552	0.2552
0.2621	0.2621
0.2691	0.2691
0.2763	0.2763
0.2837	0.2837
0.2913	0.2913
0.2990	0.2990
0.3069	0.3069
0.3150	0.3150
0.3233	0.3233
0.3317	0.3317
0.3403	0.3403
0.3491	0.3491
0.3581	0.3581
0.3672	0.3672
0.3765	0.3765
0.3860	0.3860
0.3956	0.3956
0.4054	0.4054
0.4153	0.4153
0.4254	0.4254
0.4356	0.4356
0.4459	0.4459
0.4564	0.4564
0.4669	0.4669
0.4776	0.4776
0.4883	0.4883
0.4991	0.4991
0.5099	0.5099
0.5207	0.5207
0.5316	0.5316
0.5425	0.5425
0.5533	0.5533
0.5641	0.5641
0.5749	0.5749
0.5855	0.5855
0.5961	0.5961
0.6066	0.6066
0.6169	0.6169
0.6272	0.6272
0.6372	0.6372
0.6471	0.6471
0.6568	0.6568
0.6663	0.6663
0.6755	0.6755
0.6846	0.6846
0.6934	0.6934
0.7020	0.7020
0.7104	0.7104
0.7185	0.7185
0.7263	0.7263
0.7339	0.7339
0.7412	0.7412
0.7483	0.7483
0.7551	0.7551
0.7617	0.7617
0.7680	0.7680
0.7740	0.7740
0.7798	0.7798
0.7854	0.7854
0.7907	0.7907
0.7958	0.7958
0.8006	0.8006
0.8052	0.8052
0.8097	0.8097
0.8139	0.8139
0.8179	0.8179
0.8217	0.8217
0.8253	0.8253
0.8288	0.8288
0.8320	0.8320
0.8351	0.8351
0.8381	0.8381
0.8409	0.8409
0.8436	0.8436
0.8461	0.8461
0.8484	0.8484
0.8508	0.8508
0.8530	0.8530
0.8550	0.8550
0.8570	0.8570
0.8588	0.8588
0.8606	0.8606
0.8622	0.8622
0.8638	0.8638
0.8653	0.8653
0.8668	0.8668
0.8681	0.8681
0.8695	0.8695
0.8707	0.8707
0.8719	0.8719
0.8730	0.8730
0.8741	0.8741
0.8752	0.8752
0.8762	0.8762
0.8771	0.8771
0.8780	0.8780
0.8789	0.8789
0.8798	0.8798
0.8806	0.8806
0.8814	0.8814
0.8822	0.8822
0.8829	0.8829
0.8836	0.8836
0.8844	0.8844
0.8850	0.8850
0.8857	0.8857
0.8864	0.8864
0.8870	0.8870
0.8876	0.8876
0.8883	0.8883
0.8889	0.8889
0.8895	0.8895
0.8901	0.8901
0.8907	0.8907
0.8913	0.8913
0.8919	0.8919
0.8925	0.8925
0.8931	0.8931
0.8937	0.8937
0.8943	0.8943
0.8949	0.8949
0.8955	0.8955
0.8961	0.8961
0.8967	0.8967
0.8972	0.8972
0.8979	0.8979
0.8985	0.8985
0.8991	0.8991
0.8997	0.8997
0.9004	0.9004
0.9010	0.9010
0.9017	0.9017
0.9023	0.9023
0.9030	0.9030
0.9037	0.9037
0.9044	0.9044
0.9050	0.9050
0.9058	0.9058
0.9065	0.9065
0.9073	0.9073
0.9081	0.9081
0.9089	0.9089
0.9096	0.9096
0.9105	0.9105
0.9113	0.9113
0.9122	0.9122
0.9131	0.9131
0.9140	0.9140
0.9149	0.9149
0.9158	0.9158
0.9168	0.9168
0.9176	0.9176
0.9187	0.9187
0.9197	0.9197
0.9207	0.9207
0.9218	0.9218
0.9229	0.9229
0.9240	0.9240
0.9251	0.9251
0.9262	0.9262
0.9274	0.9274
0.9286	0.9286
0.9298	0.9298
0.9311	0.9311
0.9323	0.9323
0.9336	0.9336
0.9350	0.9350
0.9363	0.9363
0.9377	0.9377
0.9391	0.9391
0.9406	0.9406
0.9420	0.9420
0.9435	0.9435
0.9450	0.9450
0.9465	0.9465
0.9481	0.9481
